FID,RowID_,SRRecordID,ServiceReq,SRType,MethodRece,CreatedDat,SRStatus,StatusDate,DueDate,CloseDate,Agency,LastActivi,LastActi_1,Outcome,Address,ZipCode,Neighborho,CouncilDis,PoliceDist,PolicePost,Latitude,Longitude,GeoLocatio,NeedsSync,IsDeleted,HashedReco,timetoclose
1,1025042,5004w00002pka4mAAA,24-00283782,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"539 N LUZERNE AVE, Baltimore City, 21205",21205,McElderry Park,13,Southeastern,224,39.297612070373816,-76.580600158292555,"(39.297612070373816, -76.580600158292555)",0,0,dTjop6rORkdnIiXRoTZGviAETjkk7eNq63lOijr6LeY=,2
2,1025053,5004w00002pkaCgAAI,24-00283790,SW-Dirty Street,API,1712188800000,Closed (Duplicate),1712188800000,1713139200000,1712188800000,Solid Waste,Service Response,1712188800000,Work completed,"1711 PENNSYLVANIA AVE, Baltimore City, 21217",21217,Upton,11,Western,713,39.303854515971764,-76.634835916414161,"(39.303854515971764, -76.634835916414161)",0,0,Iv+xTBeUGenEDTyl+bdt7RdBXeR7YOj08+aGBhkEnR4=,0
3,1025058,5004w00002pkaDeAAI,24-00283792,SW-Dirty Street,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"1733 PENNSYLVANIA AVE, Baltimore City, 21217",21217,Upton,11,Western,713,39.304261195424928,-76.635251675368849,"(39.304261195424928, -76.635251675368849)",0,0,pgqKJZyMVdPOfN+//z5keIj0Rj8T3Df2lqW2fL15eC8=,2
4,1025159,5004w00002pkaXtAAI,24-00283813,SW-Dirty Street,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"1629 W NORTH AVE, Baltimore City, 21217",21217,Penn North,7,Western,733,39.309829611495360,-76.643288311578218,"(39.309829611495360, -76.643288311578218)",0,0,0IF7fR1Wz05WdtZhOW+H1QGV96XvoGKgVmTtusJhk8g=,2
5,1025166,5004w00002pkaY8AAI,24-00283815,SW-Dirty Street,API,1712188800000,Closed,1712188800000,1713139200000,1712188800000,Solid Waste,Service Response,1712188800000,Work completed,"1300 W NORTH AVE, Baltimore City, 21217",21217,Penn North,7,Western,733,39.310492917223904,-76.638556771178301,"(39.310492917223904, -76.638556771178301)",0,0,xfL2jJtIkZC5wwILTintDNg6iJ+b6uFEdRi30n8HAdM=,0
6,1025176,5004w00002pkaYSAAY,24-00283816,SW-Dirty Alley,API,1712188800000,Closed,1712188800000,1713139200000,1712188800000,Solid Waste,Service Response,1712188800000,SR assessed and no cause for action determined,"2509 PENNSYLVANIA AVE, Baltimore City, 21217",21217,Penn North,7,Western,733,39.310535900704203,-76.642573519475519,"(39.310535900704203, -76.642573519475519)",0,0,MB1kX49uou0zesNsrf+NY2E9J9lIgztsubqxa3emupU=,0
7,1025227,5004w00002pkb8uAAA,24-00283963,SW-Dirty Street,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"N EDGEWOOD ST & WINDSOR MILL RD & WINDSOR MIL*, Baltimore City, 21216",21216,Mount Holly,7,Northwestern,614,39.311472935056926,-76.676028467107017,"(39.311472935056926, -76.676028467107017)",0,0,5H06vmF4vqwZVVeOUcPVVzQ3LfX+YaV4Jk8azTked5E=,2
8,1025257,5004w00002pkbbnAAA,24-00284227,SW-Dirty Street,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"100 S DEAN ST, Baltimore City, 21224",21224,Baltimore Highlands,2,Southeastern,214,39.290680308248078,-76.566832268146413,"(39.290680308248078, -76.566832268146413)",0,0,bp3nkhOPiui/I4lDDXCAFGJ32/Cn1On2f9hfgQpmCiw=,2
9,1025258,5004w00002pkbbNAAQ,24-00284142,SW-Dirty Alley,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,SR assessed and no cause for action determined,"4000 EDMONDSON AVE, Baltimore City, 21229",21229,Edmondson Village,8,Southwestern,812,39.294007091678743,-76.682785779205403,"(39.294007091678743, -76.682785779205403)",0,0,DuPc3R2GGqzA4A3/C0T3VMZmrP/+OPmnJi6ahApHQSA=,2
10,1025262,5004w00002pkbbrAAA,24-00284147,SW-Dirty Alley,Email,1712188800000,Closed,1712534400000,1713139200000,1712534400000,Solid Waste,Service Response,1712534400000,SR assessed and no cause for action determined,"800 UNETTA AVE, Baltimore City, 21229",21229,Saint Agnes,10,Southwestern,822,39.273453668765420,-76.675499201968350,"(39.273453668765420, -76.675499201968350)",0,0,EvAFl2555iht9GyqmTWPS5yZMlMMzH9IJ/xr5CA1OgI=,4
