Baltimore Vacant Buildings × BPD Arrests — Correlation Report
=================================================================

Pearson r = 0.6409  (n = 205 neighborhoods)
Interpretation: Moderate positive correlation: neighborhoods with more vacant buildings tend to have more arrests.

Neighborhood                         Vacants   Arrests        Ratio
-----------------------------------------------------------------
Carrollton Ridge                         750      5410         7.21
Broadway East                            725      5402         7.45
Sandtown-Winchester                      611      8220        13.45
Harlem Park                              458      2664         5.82
Oliver                                   340      2505         7.37
Midtown-Edmondson                        334      1373         4.11
East Baltimore Midway                    333      3731        11.20
Penrose/Fayette Street Outreach          322      2267         7.04
Central Park Heights                     321      4768        14.85
Mount Clare                              295       124         0.42
Mondawmin                                286      2729         9.54
Shipley Hill                             274      2002         7.31
Penn North                               268      4048        15.10
Upton                                    262      5212        19.89
Coldstream Homestead Montebello          250      3639        14.56
Franklin Square                          242      2069         8.55
Mosher                                   173       994         5.75
Park Circle                              169      1245         7.37
Coppin Heights/Ash-Co-East               167      1010         6.05
Brooklyn                                 160      5259        32.87
Easterwood                               160       722         4.51
Franklintown Road                        154      1125         7.31
Northwest Community Action               151       979         6.48
Millhill                                 141      1510        10.71
Berea                                    135      2075        15.37
Druid Heights                            133      1921        14.44
Boyd-Booth                               130       995         7.65
Westport                                 126       808         6.41
Greenspring                              126       485         3.85
Curtis Bay                               125      2156        17.25
Rosemont                                 118       927         7.86
Auchentoroly-Parkwood                    107        69         0.64
Darley Park                              105       538         5.12
Walbrook                                 102      1327        13.01
Ellwood Park/Monument                    101      2280        22.57
Arlington                                100      2410        24.10
Johnston Square                           93      1186        12.75
Washington Village/Pigtown                92      2299        24.99
Winchester                                91       435         4.78
Rosemont Homeowners/Tenants               88       649         7.38
Union Square                              79       672         8.51
Belair-Edison                             74      4440        60.00
South Clifton Park                        74      1075        14.53
Allendale                                 71       964        13.58
Madison-Eastend                           70      1820        26.00
Biddle Street                             65       888        13.66
Towanda-Grantley                          62       870        14.03
Milton-Montford                           60      1868        31.13
Saint Josephs                             60       707        11.78
Carroll-South Hilton                      58       463         7.98
Cherry Hill                               55      3128        56.87
Hollins Market                            52       969        18.63
Downtown                                  52     10743       206.60
Langston Hughes                           47       610        12.98
Poppleton                                 44      2375        53.98
Edgewood                                  43       749        17.42
Irvington                                 42      1151        27.40
Morrell Park                              41      1122        27.37
Baltimore Highlands                       40      3429        85.72
Gwynns Falls                              40       580        14.50
Barclay                                   38      1446        38.05
Better Waverly                            37       957        25.86
Reservoir Hill                            35      1877        53.63
Middle East                               34       950        27.94
Oldtown                                   33      1224        37.09
Lucille Park                              33       463        14.03
Howard Park                               32       781        24.41
Mount Holly                               32       892        27.88
Patterson Park Neighborhood               29      1713        59.07
Hanlon-Longwood                           28       454        16.21
Four By Four                              26       356        13.69
Pen Lucy                                  24       720        30.00
Dorchester                                24       793        33.04
Harwood                                   23       699        30.39
Hampden                                   22       620        28.18
Wilson Park                               21       162         7.71
Bridgeview/Greenlawn                      21       698        33.24
Woodmere                                  20      2113       105.65
Gay Street                                20      1221        61.05
Edmondson Village                         20       623        31.15
Parklane                                  19       331        17.42
Madison Park                              19       884        46.53
Canton                                    19       903        47.53
Frankford                                 17      3219       189.35
Windsor Hills                             17       140         8.24
Washington Hill                           17       846        49.76
Dolfield                                  17       777        45.71
Jonestown                                 17       574        33.76
Forest Park                               17       414        24.35
Lakeland                                  16       964        60.25
West Forest Park                          16       299        18.69
Waverly                                   15       441        29.40
Waltherson                                15       953        63.53
Cylburn                                   15       299        19.93
Charles North                             14      1491       106.50
Fells Point                               14      1021        72.93
Pimlico Good Neighbors                    14       410        29.29
Greektown                                 14       537        38.36
Abell                                     14       346        24.71
Hamilton                                  13        53         4.08
Callaway-Garrison                         13       273        21.00
Patterson Place                           12       379        31.58
North Harford Road                        12       737        61.42
Winston-Govans                            12       247        20.58
Kresson                                   12       384        32.00
Upper Fells Point                         12       570        47.50
Evergreen Lawn                            11       175        15.91
Central Forest Park                       11       362        32.91
Mount Winans                              11       117        10.64
Mid-Govans                                11       344        31.27
Highlandtown                              11      1072        97.45
Garwyn Oaks                               11       345        31.36
Panway/Braddish Avenue                    11       154        14.00
