X,Y,OBJECTID,Block,GroupStatus,DateUpdate,ID_PropertyStatus,ID_Demo_RFA,ID_Decision,CorePhase,ProjectedFiscalYear,ProjectedQuarter,DateStarted,Deconstruction,ReleasedToContractor,DateDemoFinished,Address,Lot,Neighborhood,SimplifiedStatus,Council_District,HousingMarketTypology2017,OBJECTID_1,BLOCKLOT
1415403.98121539,595228.426592559,1,0067,Final/Full Demo Complete,,,8632,90,,,,2023/05/01 00:00:00+00,,2023/05/24 00:00:00+00,2023/06/09 00:00:00+00,1001 N ARLINGTON AVE,008,Sandtown-Winchester,Demo Complete,9,I,6286,0067 008
1412338.41746464,594667.644249558,2,0072,Final/Full Demo Complete,2019/07/18 07:03:00+00,,3123,47,4,FY20,Q1,2019/07/17 00:00:00+00,Y,2018/08/31 00:00:00+00,2019/11/04 00:00:00+00,1806 W LAFAYETTE AVE,056,Sandtown-Winchester,Demo Complete,9,J,6407,0072 056
1412352.10018006,594668.1908364,3,0072,Final/Full Demo Complete,2018/02/03 17:21:00+00,,3123,47,4,FY20,Q1,2019/07/17 00:00:00+00,Y,2018/08/31 00:00:00+00,2019/11/04 00:00:00+00,1804 W LAFAYETTE AVE,057,Sandtown-Winchester,Demo Complete,9,J,6408,0072 057
1413128.74003097,595348.928648144,4,0061,Final/Full Demo Complete,2019/04/02 12:18:00+00,,3513,124,,FY19,Q4,2019/07/22 00:00:00+00,,2019/05/28 00:00:00+00,2019/08/19 00:00:00+00,1615 RIGGS AVE,023,Sandtown-Winchester,Demo Complete,9,I,6544,0061 023
1413098.30997372,595347.542496055,5,0061,Final/Full Demo Complete,2018/04/03 08:59:00+00,,3279,90,,,,2018/03/08 00:00:00+00,,2018/04/20 00:00:00+00,2018/04/20 00:00:00+00,1619 RIGGS AVE,025,Sandtown-Winchester,Demo Complete,9,I,6546,0061 025
1413680.63098755,595096.129613057,6,0062,Final/Full Demo Complete,2016/03/01 12:05:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1000 N STRICKER ST,001,Sandtown-Winchester,Demo Complete,9,J,6588,0062 001
1413679.70710489,595114.539025053,7,0062,Final/Full Demo Complete,2016/03/01 12:06:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1002 N STRICKER ST,002,Sandtown-Winchester,Demo Complete,9,J,6589,0062 002
1413678.88919313,595131.020291314,8,0062,Final/Full Demo Complete,2016/03/01 12:06:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1004 N STRICKER ST,003,Sandtown-Winchester,Demo Complete,9,J,6590,0062 003
1413678.06012656,595147.501557559,9,0062,Final/Full Demo Complete,2016/03/01 12:06:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1006 N STRICKER ST,004,Sandtown-Winchester,Demo Complete,9,J,6591,0062 004
1413677.23171614,595163.980199143,10,0062,Final/Full Demo Complete,2016/03/01 12:06:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1008 N STRICKER ST,005,Sandtown-Winchester,Demo Complete,9,J,6592,0062 005
