Neighborhood,crime_count
ARMISTEAD GARDENS,2374
ASHBURTON,1739
BARRE CIRCLE,473
BAYVIEW,1969
BEECHFIELD,1970
BELLONA-GITTINGS,138
BETTER WAVERLY,4586
BROADWAY EAST,5943
CARROLLTON RIDGE,6054
CEDMONT,2317
CEDONIA,1602
COLDSPRING,735
CROSS COUNTRY,1317
CROSS KEYS,359
CURTIS BAY INDUSTRIAL AREA,144
DOLFIELD,1899
DORCHESTER,1783
EASTERWOOD,1700
EDGEWOOD,1966
EVERGREEN,281
FAIRFIELD AREA,1008
FOUR BY FOUR,1240
FRANKFORD,15276
GAY STREET,2873
GLEN,3847
GLENHAM-BELHAR,3945
GREENMOUNT CEMETERY,49
HAMPDEN,6222
HARBOR EAST,68
HARLEM PARK,4415
HARWOOD,1708
HERRING RUN PARK,119
HOES HEIGHTS,733
IRVINGTON,4126
JOHNSTON SQUARE,3010
LOWER HERRING RUN PARK,88
MEDFIELD,1169
MID-TOWN BELVEDERE,5606
MONDAWMIN,6979
MORGAN PARK,106
MOUNT HOLLY,1649
MOUNT VERNON,7489
MOUNT WINANS,554
NORTH ROLAND PARK/POPLAR HILL,530
OLDTOWN,3453
ORCHARD RIDGE,1110
OTTERBEIN,1265
PATTERSON PARK NEIGHBORHOOD,7586
PENN-FALLSWAY,1630
PIMLICO GOOD NEIGHBORS,1276
POPPLETON,3527
RADNOR-WINSTON,677
RESERVOIR HILL,5431
RIVERSIDE,3725
ROSEBANK,624
SABINA-MATTFELDT,263
SAINT AGNES,753
SAINT PAUL,183
SPRING GARDEN INDUSTRIAL AREA,194
STONEWOOD-PENTWOOD-WINSTON,506
TEN HILLS,865
THE ORCHARDS,136
TOWANDA-GRANTLEY,1375
TREMONT,505
UNION SQUARE,1645
VILLAGES OF HOMELAND,69
WALTHERSON,4285
WINDSOR HILLS,1236
WOODBOURNE HEIGHTS,1162
ALLENDALE,2906
ARCADIA,704
BARCLAY,3637
BELVEDERE,763
BEVERLY HILLS,494
BLYTHEWOOD,14
CANTON INDUSTRIAL AREA,3276
CEDARCROFT,437
CENTRAL PARK HEIGHTS,6557
CHARLES VILLAGE,5074
COPPIN HEIGHTS/ASH-CO-EAST,2504
DICKEYVILLE,186
DOWNTOWN WEST,2328
DUNBAR-BROADWAY,3860
EAST BALTIMORE MIDWAY,5858
ELLWOOD PARK/MONUMENT,5429
FAIRMONT,712
FEDERAL HILL,3691
FELLS POINT,7599
FOREST PARK,1605
FRANKLIN SQUARE,3708
FRANKLINTOWN ROAD,1857
GLEN OAKS,2150
GRACELAND PARK,2290
GREENMOUNT WEST,2328
GREENSPRING,2273
GWYNNS FALLS/LEAKIN PARK,184
HAMILTON,45
HAWKINS POINT,360
HILLEN,1617
JOHNS HOPKINS HOMEWOOD,338
JONES FALLS AREA,469
KENILWORTH PARK,809
KERNEWOOD,460
KRESSON,1028
LAKE EVESHAM,276
LAKELAND,4575
LEVINDALE,1207
MADISON PARK,3265
MEDFORD,1095
MIDDLE BRANCH/REEDBIRD PARKS,869
MID-GOVANS,1086
MILLHILL,3865
MORAVIA-WALTHER,525
MOSHER,1667
NEW SOUTHWEST/MOUNT CLARE,2809
ORIGINAL NORTHWOOD,709
PANWAY/BRADDISH AVENUE,1055
PARKLANE,1422
PERRING LOCH,1468
PLEASANT VIEW GARDENS,986
PURNELL,339
REISTERSTOWN STATION,4630
REMINGTON,2385
RICHNOR SPRINGS,500
ROGNEL HEIGHTS,1591
ROLAND PARK,1610
ROSEMONT,2859
ROSEMONT EAST,1350
ROSEMONT HOMEOWNERS/TENANTS,1690
SAINT HELENA,500
SETON HILL,2179
STADIUM/ENTERTAINMENT AREA,23
TAYLOR HEIGHTS,98
UPLANDS,679
UPPER FELLS POINT,3120
WEST FOREST PARK,1562
WEST HILLS,985
WESTFIELD,2104
WESTGATE,1639
WILHELM PARK,760
WINCHESTER,1047
WINSTON-GOVANS,1040
WOODMERE,3363
WYMAN PARK,818
ABELL,1523
BALTIMORE HIGHLANDS,4820
BALTIMORE PENINSULA,11
BELAIR-PARKSIDE,379
BEREA,3382
BOLTON HILL,3727
BREWERS HILL,1629
BROENING MANOR,1724
BROOKLYN,11988
CAMERON VILLAGE,1021
CANTON,9491
CARROLL PARK,483
