Neighborhood,request_count
Armistead Gardens,1528
Ashburton,2771
Barre Circle,997
Bayview,5652
Beechfield,3904
Bellona-Gittings,377
Better Waverly,3441
Broadway East,10902
Carrollton Ridge,9274
Cedmont,2226
Cedonia,1960
Coldspring,960
Cross Country,2281
Cross Keys,507
Curtis Bay Industrial Area,76
Dolfield,2186
Dorchester,1859
Easterwood,2678
Edgewood,3818
Evergreen,336
Fairfield Area,754
Four By Four,2835
Frankford,10130
Gay Street,1545
Glen,5360
Greenmount Cemetery,119
Hampden,6741
Harbor East,566
Harlem Park,5611
Harwood,3162
Herring Run Park,282
Hoes Heights,1099
Irvington,4678
Johnston Square,3281
Lower Herring Run Park,102
Medfield,2559
Mid-Town Belvedere,4015
Mondawmin,5003
Morgan Park,221
Mount Holly,1758
Mount Vernon,4259
Mount Winans,1142
North Roland Park/Poplar Hill,965
Oldtown,1734
Orchard Ridge,576
Otterbein,1310
Patterson Park Neighborhood,7385
Penn-Fallsway,434
Pimlico Good Neighbors,1284
Poppleton,5670
Radnor-Winston,612
Reservoir Hill,7019
Riverside,5366
Rosebank,565
Sabina-Mattfeldt,377
Saint Agnes,539
Saint Paul,190
Spring Garden Industrial Area,62
Stonewood-Pentwood-Winston,1131
Ten Hills,966
The Orchards,409
Towanda-Grantley,1947
Tremont,1645
Union Square,2677
Villages of Homeland,79
Waltherson,5477
Windsor Hills,1862
Woodbourne Heights,1107
Arlington,3367
Auchentoroly-Parkwood,3330
Belair-Edison,29281
Biddle Street,1664
Boyd-Booth,1975
Bridgeview/Greenlawn,2970
Butchers Hill,2351
Callaway-Garrison,1853
CARE,2850
Carroll - Camden Industrial Area,1502
Carroll-South Hilton,2288
Cherry Hill,4424
Clifton Park,591
Concerned Citizens of Forest Park,1714
Curtis Bay,6343
Cylburn,2547
Downtown,16610
Druid Heights,4136
Dundalk Marine Terminal,15
Edmondson Village,3528
Ednor Gardens-Lakeside,4919
Evergreen Lawn,1355
Evesham Park,520
Fairmount,403
Fallstaff,4860
Garwyn Oaks,748
Grove Park,1628
Gwynns Falls,1683
Hanlon-Longwood,3033
Harbor Point,290
Highlandtown,4571
Hopkins Bayview,386
Hunting Ridge,1379
Inner Harbor,1054
Jonestown,1484
Keswick,437
Key Highway,216
Lake Walker,964
Lauraville,3541
Madison-Eastend,2966
Mayfield,872
Morgan State University,281
Mount Washington,2900
North Harford Road,4306
Northwest Community Action,2626
Old Goucher,1437
Oliver,7204
Orangeville Industrial Area,391
Parkside,2364
Patterson Park,943
Patterson Place,2025
Penn North,5919
Penrose/Fayette Street Outreach,5283
Pulaski Industrial Area,1463
Saint Josephs,2520
Seton Business Park,367
Sharp-Leadenhall,1053
South Baltimore,3842
University of Maryland,648
Violetville,2302
Wakefield,314
Walbrook,4161
Washington Hill,3061
Westport,3075
Woodbourne-McCabe,1523
Wyndhurst,703
Yale Heights,2284
Abell,2012
Baltimore Highlands,5140
Baltimore Peninsula,885
Belair-Parkside,470
Berea,5795
Bolton Hill,4997
Brewers Hill,2895
Broening Manor,2033
Brooklyn,10829
Cameron Village,1123
Canton,11765
Carroll Park,362
Central Forest Park,1065
Charles North,3274
Cheswolde,2403
Chinquapin Park,1272
Coldstream Homestead Montebello,10187
Darley Park,1457
Druid Hill Park,799
East Arlington,1832
Eastwood,1021
Forest Park Golf Course,279
Franklintown,686
Greektown,8266
Guilford,2261
Hamilton Hills,6342
Heritage Crossing,896
Holabird Industrial Park,244
Hollins Market,3182
Homeland,2222
Howard Park,4379
Idlewood,3025
Langston Hughes,1577
Liberty Square,1022
Little Italy,1740
Loch Raven,4768
Locust Point,2014
Locust Point Industrial Area,359
Loyola/Notre Dame,223
Lucille Park,1094
McElderry Park,7678
Middle East,3290
Midtown-Edmondson,5587
Milton-Montford,2833
Montebello,445
Morell Park,8057
Mount Clare,4108
Mt Pleasant Park,304
New Northwood,3577
Oakenshawe,939
Oaklee,511
O'Donnell Heights,635
Orangeville,1132
Overlea,652
Park Circle,4433
Parkway,951
Pen Lucy,3163
Perkins,149
Ramblewood,1683
Ridgely's Delight,1361
Sandtown-Winchester,10338
Shipley Hill,4106
South Clifton Park,2231
Tuscany-Canterbury,813
Upton,6807
Washington Village/Pigtown,9354
Waverly,3360
West Arlington,1657
Wilson Park,1798
Woodberry,1473
York-Homeland,85
Allendale,5533
