SRRecordID,SRType,SRStatus,CreatedDate,CloseDate,MethodReceived,Agency,PoliceDistrict,CouncilDistrict,Neighborhood,Latitude,Longitude
24-00000001,HCD-Rodent Complaint,Closed,2024-01-03,2024-01-21,Phone,Housing & Community Development,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000002,TRM-Pothole,Closed,2024-01-03,2024-01-11,Online,Transportation,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000003,SW-Missed Trash,Closed,2024-01-04,2024-01-05,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000004,HCD-Rodent Complaint,Closed,2024-01-04,2024-01-22,Online,Housing & Community Development,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000005,BGE-Street Light,Closed,2024-01-04,2024-01-25,Online,Transportation,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000006,TRM-Pothole,Closed,2024-01-05,2024-01-13,Phone,Transportation,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000007,SW-Missed Trash,Closed,2024-01-05,2024-01-06,Online,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000008,HCD-Rodent Complaint,Closed,2024-01-05,2024-01-26,Phone,Housing & Community Development,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000009,TRM-Pothole,Closed,2024-01-06,2024-01-14,Online,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000010,HCD-Sanitation Property,Closed,2024-01-06,2024-01-24,Phone,Housing & Community Development,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000011,SW-Missed Trash,Closed,2024-01-07,2024-01-08,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000012,BGE-Street Light,Closed,2024-01-07,2024-02-01,Online,Transportation,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000013,TRM-Pothole,Closed,2024-01-08,2024-01-16,Online,Transportation,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000014,HCD-Rodent Complaint,Closed,2024-01-08,2024-02-03,Phone,Housing & Community Development,EASTERN,12,Oliver,39.2981,-76.5897
24-00000015,SW-Missed Trash,Closed,2024-01-09,2024-01-10,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000016,TRM-Pothole,Closed,2024-01-09,2024-01-17,Online,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000017,HCD-Sanitation Property,Closed,2024-01-10,2024-01-30,Phone,Housing & Community Development,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000018,BGE-Street Light,Closed,2024-01-10,2024-02-06,Phone,Transportation,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000019,SW-Missed Trash,Closed,2024-01-11,2024-01-12,Online,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000020,HCD-Rodent Complaint,Closed,2024-01-11,2024-02-04,Phone,Housing & Community Development,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000021,TRM-Pothole,Closed,2024-01-12,2024-01-20,Online,Transportation,EASTERN,12,Oliver,39.2981,-76.5897
24-00000022,SW-Missed Trash,Closed,2024-01-12,2024-01-13,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000023,HCD-Sanitation Property,Closed,2024-01-13,2024-02-05,Online,Housing & Community Development,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000024,BGE-Street Light,Closed,2024-01-14,2024-02-11,Phone,Transportation,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000025,TRM-Pothole,Closed,2024-01-14,2024-01-22,Online,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000026,SW-Missed Trash,Closed,2024-01-15,2024-01-16,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000027,HCD-Rodent Complaint,Closed,2024-01-15,2024-02-08,Online,Housing & Community Development,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000028,TRM-Pothole,Closed,2024-01-16,2024-01-24,Phone,Transportation,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000029,BGE-Street Light,Closed,2024-01-17,2024-02-16,Online,Transportation,EASTERN,12,Oliver,39.2981,-76.5897
24-00000030,SW-Missed Trash,Closed,2024-01-17,2024-01-18,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
